Gender,Student Age,Marital Status,Continent of Origin,Country of Origin (Nationality),Current Level of Education,Pursued Qualification,Type of University,Factors Influenced,Information Source,Previous Performance,Exam Preparatiom,Frequency of lectures Attendance,ASS Utilisation,Language of Instruction ,How satisfied are you with the feedback provided by your instructors on your academic work,How would you rate the level of academic support provided by faculty members in your department,Academic Rigour Perception, Technology Access ,Accommodation Type,Living Arrangements,Education Finance,After Studies,Quality of Education in Germany,Language Class Attendance,Levels of Language,Employment Status,District of Residence,Name of Institution,Course of Study,Religion,Spoken Languages,Satisfied Level
Male,56 -65,Married,Europe,Finland,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Very Satisfied,Excellent,Similar,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Good,Yes,B2,Student,Europe,Akad university of Barlin,Online marketing,Christianity,English,4
Male,56 -65,Married,Africa,Kenya,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Good,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Africa,University of Bonn,Agricultural economics and social science,Christianity,English,4
Male,56 -65,Married,Africa,Ethiopia,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Average / Fair,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Africa,University of Bonn,Agricultural economics and social science,Christianity,English,4
Male,56 -65,Married,Africa,Tanzania,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Very Satisfied,Excellent,More Challenging,"No, occasionally",Shared Apartment,Managing,Blocked Account,Seek Employment in Germany,Better,Yes,B2,Student,Africa,University of Bonn,Agricultural economics and social science,Christianity,English,3
Male,56 -65,Married,Asia,Plagwitz,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,Similar,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Seek Employment in Germany,Better,Yes,B1,Student,Asia,Lancaster University Leipzig,Cyber security,Christianity,English,5
Male,56 -65,Married,Asia,Oceania,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Excellent,Creating Study Guides,Always,Yes,English,Very Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Satisfied,Blocked Account,Pursue Further Education,Best,Yes,B2,Student,Reudnitz,Lancaster University Leipzig,Logistic and supply chain (mgt),Christianity,English,4
Male,46 - 55,Married,Asia,Asia,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Academic Colleague,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Plagwitz,Lancaster University Leipzig,Logistic and supply chain (mgt),Christianity,English,4
Male,46 - 55,Married,Asia,Asia,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Good,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Good,Yes,B2,Student,Plagwitz,Lancaster University of Leipzig,Cyber security,Christianity,English,3
Male,46 - 55,Married,Asia,Asia,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Good,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,Less Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,C1,Student,Altstadt Old Town,Ludwig Maximilians university of niunchen (Lmu)(Lmu,America history,Christianity,English,4
Male,46 - 55,Married,Africa,Africa,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Creating Study Guides,Always,Yes,English,Satisfied,Good,More Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B1,Student,Scwabing west,Lancaster University Leipzig,Quantitative Economics,Christianity,English,4
Male,56 -65,Married,Europe,Austria,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Good,Creating Study Guides,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Good,Yes,B2,Student,Europe,Fom university of applied science Barlin,Cyber security management,Christianity,English,4
Male,46 - 55,Married,Europe,Denmark,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Good,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Europe,Fom university of applied science Barlin,Business analytics,Christianity,English,4
Male,56 -65,Married,Europe,Belgium,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,C1,Student,Europe,Akad university Berlin,"Online marketing, industrial engineering ",Christianity,English,4
Male,26 - 35,Married,Africa,Namibia,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Good,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Africa,Berlin international University Applied science,Master of business Administration's traction'( mba),Christianity,English,3
Male,26 - 35,Married,Africa,Morocco,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Average / Fair,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,Similar,"No, occasionally",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,C1,Student,Africa,Berlin international University Applied science,Interior Architecture interior Design,Christianity,English,3
Male,26 - 35,Married,Africa,Ethiopia,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Average / Fair,Creating Study Guides,Always,Yes,English,Satisfied,Good,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,C1,Student,Spandau,Berlin international University Applied science,Master of business Administration's traction' (mba),Christianity,English,3
Male,26 - 35,Married,Asia,Asia,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Good,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,More Challenging,"No, occasionally",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Good,Yes,B1,Student,Altstadt,Technical university of munchen (Twm),Management technology,Christianity,English,3
Male,26 - 35,Married,Asia,Asia,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,Less Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,C1,Student,Plagwitz,Technical university of Munich (Tum),Management Technology,Christianity,English,3
Male,26 - 35,Married,Africa,Africa,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Good,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,More Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,C1,Student,Scwabing west,Technical university of Munich (Tum),Consumer science,Christianity,English,3
Male,26 - 35,Married,Africa,Africa,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Academic Colleague,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,Similar,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Good,Yes,C1,Student,Altstadt ( Old Town),Technical university of technology,Consumer science,Christianity,English,4
Male,26 - 35,Married,Africa,Africa,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,B2,Student,Scwabing west,Ludwig Maximilian university of munchen (Lmu),Quantitative Economics,Christianity,English,4
Male,36 -45,Married,Asia,Indonesia,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Good,Similar,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,C1,Student,Asia,Lancaster University Leipzig,Logistics supply chain,Christianity,English,3
Male,26 - 35,Married,Asia,India,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Good,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Good,Yes,B2,Student,Asia,Lancaster University of Leipzig,Cyber security,Christianity,English,3
Male,26 - 35,Married,Asia,Altstadt,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Excellent,Creating Study Guides,Always,Yes,English,Very Satisfied,Good,More Challenging,"No, occasionally",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,C1,Student,Altstadt,University of Bonn,Cyber security,Christianity,English,3
Male,26 - 35,Married,Africa,Tunisia,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Good,Creating Study Guides,Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, most of the time",Shared Apartment,Managing,Blocked Account,Pursue Further Education,Better,Yes,C1,Student,Altstadt,University of Bonn,Agricultural and food economics,Christianity,English,4
Male,26 - 35,Single,Asia,India,Master´s Degree,Bachelor´s Degree,Private,"Better Education, Better Infrastucture, Foreign Exposure","Internet Search, Academic Colleague",Good,"Reviewing Lecture Notes, Using Online Resources",Always,Yes,English,Satisfied,Good,Similar,"Yes, Always",Shared Apartment,Satisfied,"Personal Savings, Part - Time Job",Seek Employment in Germany,Good,No,A1,Student,Berlin,BSBI,MSc Data Analytics,Hinduism,"English, Hindi",3
Male,26 - 35,Single,Asia,India,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Good,Creating Study Guides,Always,No,English,Satisfied,Fair,More Challenging,"Yes, Always",Shared Apartment,Satisfied,"Part - Time Job, Blocked Account",Seek Employment in Germany,Better,No,A2,Student,Berlin,BSBI,Msc Data Analytics,Hinduism,"English, Hindi, German",3
Male,36 -45,Married,Asia,India,Bachelor´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Average / Fair,Using Online Resources,Sometimes,No,English,Satisfied,Good,Similar,"Yes, Always",Shared Apartment,Bad,Blocked Account,Seek Employment in Germany,Good,Yes,A1,Student,Hiedesse,BSBI,MSc Data Analyst,Hinduism,Hindi,3
Male,18 - 25,Single,Asia,India,Bachelor´s Degree,Bachelor´s Degree,Private,"Better Education, Better Infrastucture, Foreign Exposure, Greener Pasture","Internet Search, Academic Colleague",Excellent,"Reviewing Lecture Notes, Creating Study Guides",Always,Yes,English,Satisfied,Good,Less Challenging,"No, occasionally",Rented Flat,Bad,"Part - Time Job, Loans","Seek Employment in Germany, Return to my home country",Better,No,A1,"Student, Employed",Berlin,BSBI,Business management,Hinduism,"English, Hindi",3
Female,26 - 35,Single,Asia,India,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Excellent,"Reviewing Lecture Notes, Using Online Resources",Sometimes,No,English,Satisfied,Good,Similar,"Yes, most of the time",Shared Apartment,Managing,"Part - Time Job, Blocked Account",Seek Employment in Germany,Better,No,A1,Student,Berlin,BSBI,MSc Data Analytics,Hinduism,English,5
Female,26 - 35,Single,Asia,India,Master´s Degree,Master´s Degree,Private,"Better Education, Better Infrastucture, Foreign Exposure, Greener Pasture",Internet Search,Good,"Reviewing Lecture Notes, Creating Study Guides, Participating in Study Groups, Using Online Resources",Always,Yes,English,Satisfied,Good,Similar,"Yes, Always",Shared Apartment,Satisfied,Personal Savings,Seek Employment in Germany,Better,Yes,A2,Student,Berlin,BSBI,MSC,Hinduism,Hindi,4
Male,26 - 35,Single,Asia,India,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Excellent,Using Online Resources,Always,No,English,Very Satisfied,Excellent,Similar,"Yes, Always",Shared Apartment,Very Satisfied,Part - Time Job,Seek Employment in Germany,Good,No,A1,Student,Berlin,BSBI,Energy management,Hinduism,"English, Hindi, Gujarati",1
Male,36 -45,Single,Asia,India,"Bachelor´s Degree, Master´s Degree",Bachelor´s Degree,Private,"Better Education, Better Infrastucture, Foreign Exposure",Internet Search,"Excellent, Good","Creating Study Guides, Participating in Study Groups",Always,Yes,English,Very Satisfied,Excellent,Similar,"Yes, most of the time",Student Hostel,Satisfied,"Scholarships / Grants, Part - Time Job, Blocked Account","Return to my home country, Pursue Further Education",Good,No,A1,Student,Berlin,BSBI,Business management,Hinduism,"English, Hindi",4
Male,18 - 25,Single,Africa,Namibia,Bachelor´s Degree,Bachelor´s Degree,Private,Foreign Exposure,Internet Search,Good,"Reviewing Lecture Notes, Creating Study Guides, Using Online Resources",Always,Yes,English,Satisfied,Excellent,More Challenging,"Yes, Always",Student Hostel,Very Satisfied,"Personal Savings, Part - Time Job, Blocked Account","Seek Employment in Germany, Pursue Further Education",Better,No,NA,Student,Berlin,Arden University,Accounting and Finance,Islam,English,3
Male,36 -45,Married,Africa,Nigeria,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,"Good, Average / Fair",Combination the above results,Sometimes,Yes,English,Satisfied,Good,Less Challenging,"Yes, Always",Shared Apartment,Satisfied,Scholarships / Grants,Seek Employment in Germany,Best,Yes,A2,Student,Berlin,BSBI,MSc IHM,Islam,English,4
Male,26 - 35,Married,Africa,Nigeria,Master´s Degree,Master´s Degree,Public,"Better Education, Foreign Exposure",Academic Colleague,Excellent,"Reviewing Lecture Notes, Using Online Resources",Always,No,English,Very Satisfied,Excellent,More Challenging,"Yes, Always",Student Hostel,Very Satisfied,"Scholarships / Grants, Part - Time Job, Blocked Account",Seek Employment in Germany,Better,Yes,A2,Employed,Berlin,Technische Universität München,,Islam,"English, German",5
Female,26 - 35,Single,Asia,Iran,Bachelor´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Using Online Resources,Sometimes,Yes,English,"Neutral, Dissatisfied",Fair,Similar,"No, occasionally",Shared Apartment,Satisfied,Personal Savings,Seek Employment in Germany,Better,No,A1,Student,Frankfurter Street,BSBI,MSc health management,Islam,Persian,3
Male,26 - 35,Widowed,Asia,Singapore,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Average / Fair,"Reviewing Lecture Notes, Participating in Study Groups, Using Online Resources",Always,Yes,English,Very Satisfied,Good,More Challenging,"Yes, Always",Shared Apartment,Satisfied,"Part - Time Job, Blocked Account, Loans","Seek Employment in Germany, Pursue Further Education",Best,Yes,A2,Student,Endenich,University of Bonn,Bioinformatics,Islam,English,4
Male,36 -45,Divorced,Africa,Egypt,Master´s Degree,Master´s Degree,Private,"Better Education, Better Infrastucture, Foreign Exposure","Internet Search, Academic Colleague",Good,"Reviewing Lecture Notes, Creating Study Guides, Participating in Study Groups",Always,Yes,English,Satisfied,Good,More Challenging,"Yes, Always",Shared Apartment,Satisfied,"Personal Savings, Part - Time Job, Blocked Account","Seek Employment in Germany, Pursue Further Education",Better,Yes,A2,Student,Au-Haidhausen,Ludwig-Maximilians-Universität München (LMU),Quantitative Economics,Islam,English,4
Female,18 - 25,Single,Asia,Vietnam,Master´s Degree,Master´s Degree,Private,Better Education,Government Sponsorship,Good,Using Online Resources,Always,No,English,Neutral,Fair,Similar,"Yes, most of the time",Shared Apartment,Managing,Part - Time Job,Seek Employment in Germany,Better,No,A1,Employed,Lichtenberg,BSBI,MSc Data Analytics,No religion,"English, Vietnamese",3
Male,26 - 35,Single,Europe,Turkey,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,"Reviewing Lecture Notes, Creating Study Guides, Participating in Study Groups, Using Online Resources",Always,No,English,Neutral,Fair,Less Challenging,"Yes, Always",Shared Apartment,Bad,Part - Time Job,Seek Employment in Germany,Bad,No,B1,"Student, Employed",Student,BSBI,Data analytics,Nothing,"English, German, Turkish",1
Male,26 - 35,Single,Africa,Ghana,Bachelor´s Degree,Bachelor´s Degree,Private,Unique program of study,Internet Search,"Excellent, Good",Reviewing Lecture Notes,Always,No,English,Satisfied,Fair,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,"Personal Savings, Others",Pursue Further Education,Better,No,NA,Student,Berlin,BSBI,Bsc. (Hons) International Business and Management,Still figuring out where to belong but believe there is God/Allah,"English, Spanish",5
Female,26 - 35,Single,Asia,Iran,Master´s Degree,Master´s Degree,Private,Better Education,Recommendation,Excellent,"Reviewing Lecture Notes, Participating in Study Groups, Using Online Resources",Sometimes,Yes,English,Satisfied,Good,Similar,"Yes, Always",Rented Flat,Satisfied,"Personal Savings, Part - Time Job, Blocked Account",Seek Employment in Germany,Good,No,NA,Loss of Job,Berlin,BSBI,Data Analytics,,"English, Persian ",4
